Year,NOC,region,Sport,Event,Medal
1976,DEU,,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
1996,MEX,Mexico,Athletics,Athletics Men's 20 kilometres Walk,Bronze
1976,DEU,,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze
1984,DEU,,Swimming,Swimming Women's 100 metres Butterfly,Bronze
1960,IRN,,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
1984,AUT,Austria,Judo,Judo Men's Middleweight,Gold
1988,AUT,Austria,Judo,Judo Men's Middleweight,Gold
1980,YUG,Serbia,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
1984,YUG,Serbia,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
1988,YUG,Serbia,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold
1988,YUG,Serbia,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
1992,IOA,Individual Olympic Athletes,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
2000,SCG,Serbia,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
2004,SCG,Serbia,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
2004,JPN,Japan,Sailing,Sailing Men's Two Person Dinghy,Bronze
1972,JPN,Japan,Judo,Judo Men's Middleweight,Gold
2000,USA,USA,Tennis,Tennis Women's Singles,Bronze
1980,BGR,,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
1992,EUN,Russia,Swimming,Swimming Men's 200 metres Backstroke,Silver
1984,NZL,New Zealand,Sailing,Sailing Mixed Multihull,Gold
1988,NZL,New Zealand,Sailing,Sailing Mixed Multihull,Silver
1972,RUS,Russia,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
2012,ZAF,,Athletics,Athletics Women's 800 metres,Silver
2016,ZAF,,Athletics,Athletics Women's 800 metres,Gold
1976,BGR,,Weightlifting,Weightlifting Men's Heavyweight,Silver
2008,BLR,Belarus,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
2012,RUS,Russia,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
2016,RUS,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
1976,FRA,France,Weightlifting,Weightlifting Men's Lightweight,Silver
1964,RUS,Russia,Shooting,Shooting Men's Trap,Silver
1996,ITA,Italy,Sailing,Sailing Women's Windsurfer,Bronze
2000,ITA,Italy,Sailing,Sailing Women's Windsurfer,Gold
2004,ITA,Italy,Sailing,Sailing Women's Windsurfer,Bronze
2008,ITA,Italy,Sailing,Sailing Women's Windsurfer,Silver
1992,TUR,Turkey,Judo,Judo Women's Extra-Lightweight,Bronze
1996,ZAF,,Athletics,Athletics Men's 800 metres,Silver
1964,BEL,Belgium,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
2004,UKR,Ukraine,Swimming,Swimming Men's 100 metres Butterfly,Bronze
1996,UKR,Ukraine,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
1960,RUS,Russia,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
1960,RUS,Russia,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
1980,HUN,Hungary,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
2008,CAN,Canada,Taekwondo,Taekwondo Women's Welterweight,Silver
1992,EUN,Russia,Judo,Judo Men's Half-Heavyweight,Bronze
1980,RUS,Russia,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
1988,PHL,,Boxing,Boxing Men's Light-Flyweight,Bronze
2004,USA,USA,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
1980,POL,Poland,Weightlifting,Weightlifting Men's Featherweight,Bronze
1960,FRA,France,Athletics,Athletics Men's 200 metres,Bronze
1968,IRN,,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
2012,AZE,Azerbaijan,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
2016,AZE,Azerbaijan,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
1996,RUS,Russia,Sailing,Sailing Mixed Three Person Keelboat,Silver
2008,RUS,Russia,Weightlifting,Weightlifting Women's Lightweight,Silver
1960,RUS,Russia,Gymnastics,Gymnastics Men's Individual All-Around,Gold
1960,RUS,Russia,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1960,RUS,Russia,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
1960,RUS,Russia,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
1964,RUS,Russia,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
1964,RUS,Russia,Gymnastics,Gymnastics Men's Rings,Bronze
2016,KAZ,Kazakhstan,Boxing,Boxing Women's Middleweight,Bronze
2008,KAZ,Kazakhstan,Wrestling,"Wrestling Women's Middleweight, Freestyle",Bronze
1988,RUS,Russia,Boxing,Boxing Men's Light-Heavyweight,Silver
1968,RUS,Russia,Weightlifting,Weightlifting Men's Featherweight,Silver
1972,RUS,Russia,Weightlifting,Weightlifting Men's Featherweight,Silver
1968,RUS,Russia,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
1972,RUS,Russia,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
1972,USA,USA,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
1980,RUS,Russia,Gymnastics,Gymnastics Women's Horse Vault,Gold
2012,RUS,Russia,Tennis,Tennis Women's Singles,Silver
1996,UKR,Ukraine,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1976,RUS,Russia,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
2012,GEO,Georgia,Judo,Judo Men's Half-Lightweight,Gold
2016,GEO,Georgia,Judo,Judo Men's Lightweight,Bronze
2008,GBR,UK,Sailing,Sailing Women's Windsurfer,Bronze
1964,RUS,Russia,Athletics,Athletics Women's Long Jump,Bronze
1996,RUS,Russia,Athletics,Athletics Men's 50 kilometres Walk,Silver
1992,EUN,Russia,Gymnastics,Gymnastics Men's Rings,Gold
1992,EUN,Russia,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
1996,BLR,Belarus,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
1996,BLR,Belarus,Gymnastics,Gymnastics Men's Horse Vault,Bronze
1996,BLR,Belarus,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
1996,BLR,Belarus,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
2000,UKR,Ukraine,Athletics,Athletics Men's Long Jump,Bronze
2012,UKR,Ukraine,Boxing,Boxing Men's Welterweight,Bronze
2012,UKR,Ukraine,Fencing,"Fencing Women's epee, Individual",Gold
1992,CHN,China,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
1996,CHN,China,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
2000,CHN,China,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
1988,RUS,Russia,Judo,Judo Men's Middleweight,Silver
2000,RUS,Russia,Fencing,"Fencing Men's Foil, Individual",Bronze
2004,CAN,Canada,Gymnastics,Gymnastics Men's Floor Exercise,Gold
2016,CHN,China,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
2016,CHN,China,Diving,Diving Women's Synchronized Springboard,Gold
2016,CHN,China,Weightlifting,Weightlifting Men's Lightweight,Gold
2004,JPN,Japan,Swimming,Swimming Women's 800 metres Freestyle,Gold
2012,USA,USA,Boxing,Boxing Women's Middleweight,Gold
2016,USA,USA,Boxing,Boxing Women's Middleweight,Gold
1992,EUN,Russia,Athletics,Athletics Women's Javelin Throw,Silver
2012,JPN,Japan,Boxing,Boxing Men's Bantamweight,Bronze
2000,JPN,Japan,Judo,Judo Men's Heavyweight,Silver
2016,JPN,Japan,Gymnastics,Gymnastics Men's Horse Vault,Bronze
1960,GBR,UK,Athletics,Athletics Women's High Jump,Silver
2000,KAZ,Kazakhstan,Athletics,Athletics Women's 100 metres Hurdles,Gold
2012,BLR,Belarus,Weightlifting,Weightlifting Women's Light-Heavyweight,Bronze
2016,RUS,Russia,Cycling,Cycling Women's Team Sprint,Silver
1976,BGR,,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
1972,USA,USA,Athletics,Athletics Men's Marathon,Gold
1976,USA,USA,Athletics,Athletics Men's Marathon,Silver
1996,SYR,Syria,Athletics,Athletics Women's Heptathlon,Gold
1988,BGR,,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
1976,BGR,,Athletics,Athletics Women's 800 metres,Silver
2016,RUS,Russia,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
2012,RUS,Russia,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Bronze
1976,RUS,Russia,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold
1988,RUS,Russia,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
1988,RUS,Russia,Gymnastics,Gymnastics Women's Balance Beam,Silver
1988,RUS,Russia,Fencing,"Fencing Men's epee, Individual",Bronze
2008,KAZ,Kazakhstan,Boxing,Boxing Men's Light-Heavyweight,Bronze
2012,CHN,China,Athletics,Athletics Men's 50 kilometres Walk,Bronze
